"","text"
"1.content","english translat messag truth syria sheikh abu muham al maqdisi"
"2.content","english translat sheikh fatih al jawlani peopl integr sacrific easi"
"3.content","english translat first audio meet sheikh fatih al jawlani ha"
"4.content","english translat sheikh nasir al wuhayshi ha leader aqap promis victori"
"5.content","english translat aqap respons sheikh baghdadi statement although disbeliev dislik"
"6.content"," second clip dawah seri soldier jn video link"
"7.content","english transcript oh murabit"
"8.content","english translat collect word ulama regard dawlah"
"9.content","aslm pleas share new account previous one suspendedkhalidmaghrebi seifulmaslul cheerleadunit"
"10.content","english translat aqap statement regard bless raid franc"
"11.content","khalidmaghrebi seifulmaslul cheerleadunit ibnnabih"
"12.content","new link previous one taken downaqapth face brighten regard bless attack franc"
"13.content","english translat sheikh abu hasan al kuwaiti ha advic nabi saw mujahideen"
"14.content","sheikh abu hassan al kuwaiti ha advic nabi saw mujahideen"
"15.content","ibnnabih muwmedia dawlatislam translat either"
"16.content","aslm anybodi translat new jn video will translat nobodi els ibnnabih khalidmaghrebi muwmedia poldermujahid"
"17.content","ibnnabih khalidmaghrebi muwmedia poldermujahid will translat inshallah let us knw anybodi avail sub"
"18.content","ibnnabih abuwukasyah poldermujaahid abuizzadeen muwmedia half way day inshallah busi"
"19.content","abdirahmanbash khalidmaghrebi ibnnabih poldermujahid aslm complet translat except news"
"20.content","abdirahmanbash khalidmaghrebi ibnnabih poldermujahid report word syrian peopl will complet tomorrow"
"21.content","abdirahmanbash khalidmaghrebi ibnnabih poldermujahid inshallah still finish"
"22.content","new link jn video eng sub path salvat watch"
"23.content","download jn video english subtitl path salvat"
"24.content","video ansardeenfront eng subtitl save aleppo watch download"
"25.content","english translat pamphlet releas jn regard group dawlah islam rule regard"
"26.content","aslm anybodi translat new audio sheikh jawlani will one els isibnnabih emerataqislam khalidmaghrebi"
"27.content","abuhamzaneh w jnirhabiyya abamham aslm will inshallah"
"28.content","rt giimediach rule imarah part condit imamah introduct definit english translat"
"29.content","english translat dialogu sheikh tartoosi part"
"30.content",""
"31.content","break confirm islam state take control aljusiya border post link jurud alqaa lebanon qusayr hom countrysid"
"32.content","salamu alaykum im back support spread new account barakallahu feekum"
"33.content","yazeeddhardaa cc ibnnuha jazrawiuod strivrid afroqaqaisback"
"34.content","best generat ever takbirrr dawlah cub"
"35.content","baqiya jazakallahu akhi"
"36.content","umulbanat jazakallahu ukh"
"37.content","aljabarti jazakallahu akh"
"38.content","ummaysha jazakallahu ukhti abtigood asadalkanadi"
"39.content","bintros jazakallahu ukhti abuhaleema skxxx abtigood muslimah jasonphedo aljabali abdullahkayaniw checkcontentt"
"40.content","skxx actual chang drastic took reveng encircl dez strivric warreport"
"41.content","skxx cant accept mubahala sh adnani amp abu abdullah shami truth strivric warreport"
"42.content","skxx rememb tweet first acc use support made clarif strivric warreport"
"43.content","skxx truth behind jan hes assert fsa one start infight kill muhajireen strivric warreport"
"44.content","skxx doesnt know will say tweet true hes haqq strivric"
"45.content","histori repeat jn almost vanish came syria massiv bayah aleppo amp raqqa"
"46.content","report jn tell fighter wont particip mari battl islam state circumst"
"47.content"," sahawat declar villag militari zone love talk civilian death provid video"
"48.content","didnt tell jn make takfir spill holi blood srf hazm"
"49.content","abuyaqub rt alwalawalbara may allah punish everi shiit"
"50.content","new hijrah advic part secur measur"
"51.content","anorsmtesbtltsm"
"52.content",""
"53.content",""
"54.content","nusra use km frontlin northaleppo never advanc side"
"55.content","macroarch abo samra tripoli lebanon ht"
"56.content","tptcosnakcqbmrstftw"
"57.content"," sake allah returnofthegolddinar"
"58.content",""
"59.content",""
"60.content","eqisluu"
"61.content","ahwaalummat"
"62.content",""
"63.content","wilayatsalahuddin side ongo battl safavid armi amp militia west baiji citi"
"64.content","rt abdelhakzait nasseralfahad"
"65.content","ameen mojahdin saudi"
"66.content"," doma"
"67.content",""
"68.content","pls share brother sister"
"69.content",""
"70.content","rt cnn photo isra soldier hold palestinian boy headlock goe viral"
"71.content","iraq hashd crimin bought justic way kill sunni kill"
"72.content",""
"73.content",""
"74.content","yarmouk tv channel link jordanian muslim brother suspend joedanian author"
"75.content","antiterrorist wilayataljazirah harvest comb honey beehiv"
"76.content","alshabaab claim kill amisom soldier updf today jannaal attack carri sheikh abu zubayr battali"
"77.content","followthehaqqq islamicst wilayet sinai come soon"
"78.content"," wilayatbarqah libya distribut dawah leaflet noufaliy"
"79.content","ah town"
"80.content","oni"
"81.content"," bakeri administr th top ten select wlaya raqqah"
"82.content",""
"83.content","general petraeus use alqaeda jn fighter beat islam state leav comment"
"84.content","poor baathist amp saddamistseven russia intervenerad behalf assad kuffar nationalist apost sultan scholar etc"
"85.content","diyah popular attack somalia last year dayniil attack lego attack jannal attack yurkud attack somalia"
"86.content","ustrain divis enter marea fight islam state jn report allow"
"87.content","tawheedi one import live one"
"88.content"," word week"
"89.content","ironmuhajir jundhullah noth like jihad god give us help power farrida"
"90.content",""
"91.content"," htt"
"92.content","pt"
"93.content","islamicst now just kilometr great umayyad mosqu march toward damascus"
"94.content","break nigeria islam state advanc lago busi capit biggest citi nigeria"
"95.content","wilayatalfallujah new video knight victori part come sooninshaallah"
"96.content","jazrawimissk apost fsa group declar hiwar area circl militari zone"
